joint_name,joint_type,lower,upper,source_effort_limit,source_velocity_limit,actuator_index,qpos_index,qvel_index
FL_hip_joint,revolute,-1.01,1.01,120,22,0,7,6
FL_thigh_joint,revolute,-2.34,3.15,120,22,1,8,7
FL_calf_joint,revolute,-2.77,-0.54,180,14.6667,2,9,8
RL_hip_joint,revolute,-1.01,1.01,120,22,3,10,9
RL_thigh_joint,revolute,-1.56,3.94,120,22,4,11,10
RL_calf_joint,revolute,-2.77,-0.54,180,14.6667,5,12,11
FR_hip_joint,revolute,-1.01,1.01,120,22,6,13,12
FR_thigh_joint,revolute,-2.34,3.15,120,22,7,14,13
FR_calf_joint,revolute,-2.77,-0.54,180,14.6667,8,15,14
RR_hip_joint,revolute,-1.01,1.01,120,22,9,16,15
RR_thigh_joint,revolute,-1.56,3.94,120,22,10,17,16
RR_calf_joint,revolute,-2.77,-0.54,180,14.6667,11,18,17
arm_j1,revolute,-2.618,2.618,100,5,12,19,18
arm_j2,revolute,0,3.14,100,5,13,20,19
arm_j3,revolute,-2.967,0,100,5,14,21,20
arm_j4,revolute,-1.745,1.745,100,5,15,22,21
arm_j5,revolute,-1.22,1.22,100,5,16,23,22
arm_j6,revolute,-2.0944,2.0944,100,3,17,24,23
arm_j7,prismatic,0,0.035,10,1,18,25,24
arm_j8,prismatic,-0.035,0,10,1,19,26,25
