id,domain,parameter,min_or_value,max_or_blank,unit,evidence_type,source_id,source_url,source_page_or_location,derivation,limitations,owner_status
M01,door,LPD Mayfair 1981x610x35mm leaf mass,10,,kg,FACTORY_SKU,S01,https://lpddoors.co.uk/products/white-moulded-mayfair-4p/,网页，无独立发布日期；Technical Information,,具体尺寸SKU，不是承重,DISCUSSION_OPEN_NOT_AUTHORIZED
M02,door,LPD Mayfair 1981x838x35mm leaf mass,13,,kg,FACTORY_SKU,S01,https://lpddoors.co.uk/products/white-moulded-mayfair-4p/,网页，无独立发布日期；Technical Information,,中国分布未知,DISCUSSION_OPEN_NOT_AUTHORIZED
M03,door,LPD Vancouver 1981x838x35mm leaf mass,34,,kg,FACTORY_SKU,S02,https://lpddoors.co.uk/products/oak-vancouver-5p/,网页；Technical Information,,工程木,DISCUSSION_OPEN_NOT_AUTHORIZED
M04,door,LPD Vancouver 1981x838x54mm leaf mass,50,,kg,FACTORY_SKU,S02,https://lpddoors.co.uk/products/oak-vancouver-5p/,网页；Technical Information,,不替代防火认证,DISCUSSION_OPEN_NOT_AUTHORIZED
M05,door,LPD Vancouver 2040x926x44mm leaf mass,49,,kg,FACTORY_SKU,S02,https://lpddoors.co.uk/products/oak-vancouver-5p/,网页；Technical Information,,按SKU,DISCUSSION_OPEN_NOT_AUTHORIZED
M06,door,FERRO62 EI30 areal mass,40,,kg/m2,FACTORY_APPROX,S03,https://www.assaabloy.com/hr/en/solutions/products/doors/steel-fire-doors/ferro-62-fire-single-leaf-doors,网页；Technical data / Leaf weight,,原厂近似面密度，不是单扇kg,DISCUSSION_OPEN_NOT_AUTHORIZED
D01,door,FERRO62 EI30 at assumed .9x2.1m,75.6,,kg,DERIVED,S03,https://www.assaabloy.com/hr/en/solutions/products/doors/steel-fire-doors/ferro-62-fire-single-leaf-doors,网页；Technical data / Leaf weight,40*.9*2.1,假定尺寸乘面密度；非该成品称重,DISCUSSION_OPEN_NOT_AUTHORIZED
M07,door,FERRO62 EI60 areal mass,45,,kg/m2,FACTORY_APPROX,S03,https://www.assaabloy.com/hr/en/solutions/products/doors/steel-fire-doors/ferro-62-fire-single-leaf-doors,网页；Technical data / Leaf weight,,原厂近似面密度，不是单扇kg,DISCUSSION_OPEN_NOT_AUTHORIZED
D02,door,FERRO62 EI60 at assumed .9x2.1m,85.05,,kg,DERIVED,S03,https://www.assaabloy.com/hr/en/solutions/products/doors/steel-fire-doors/ferro-62-fire-single-leaf-doors,网页；Technical data / Leaf weight,45*.9*2.1,假定尺寸乘面密度；非该成品称重,DISCUSSION_OPEN_NOT_AUTHORIZED
M08,door,FERRO62 EI90 areal mass,60,,kg/m2,FACTORY_APPROX,S03,https://www.assaabloy.com/hr/en/solutions/products/doors/steel-fire-doors/ferro-62-fire-single-leaf-doors,网页；Technical data / Leaf weight,,原厂近似面密度，不是单扇kg,DISCUSSION_OPEN_NOT_AUTHORIZED
D03,door,FERRO62 EI90 at assumed .9x2.1m,113.4,,kg,DERIVED,S03,https://www.assaabloy.com/hr/en/solutions/products/doors/steel-fire-doors/ferro-62-fire-single-leaf-doors,网页；Technical data / Leaf weight,60*.9*2.1,假定尺寸乘面密度；非该成品称重,DISCUSSION_OPEN_NOT_AUTHORIZED
M09,door,FERRO62 EI120 areal mass,75,,kg/m2,FACTORY_APPROX,S03,https://www.assaabloy.com/hr/en/solutions/products/doors/steel-fire-doors/ferro-62-fire-single-leaf-doors,网页；Technical data / Leaf weight,,原厂近似面密度，不是单扇kg,DISCUSSION_OPEN_NOT_AUTHORIZED
D04,door,FERRO62 EI120 at assumed .9x2.1m,141.75,,kg,DERIVED,S03,https://www.assaabloy.com/hr/en/solutions/products/doors/steel-fire-doors/ferro-62-fire-single-leaf-doors,网页；Technical data / Leaf weight,75*.9*2.1,假定尺寸乘面密度；非该成品称重,DISCUSSION_OPEN_NOT_AUTHORIZED
M10,door,DFM DS RC3 60-1 areal mass,42,,kg/m2,FACTORY,S04,https://www.dfm-europe.eu/products/steel-burglar-and-fire-resistant-doors/,网页；Steel burglar and fire resistant doors产品段,,厚65mm；欧洲锚点,DISCUSSION_OPEN_NOT_AUTHORIZED
M11,glass,float glass density,2500,,kg/m3,MATERIAL_FACTORY,S05,https://csultd.co.uk/float-glass/,网页；Float glass技术数据,,不含门框五金,DISCUSSION_OPEN_NOT_AUTHORIZED
D05,glass,bare glass mass within proposed geometry,30.4,72.6,kg,DERIVED_ENGINEERING_DOMAIN,S05,https://csultd.co.uk/float-glass/,网页；Float glass技术数据,2500*W*H*t,W .8-1.1 H1.9-2.2 t.008-.012m是工程选域,DISCUSSION_OPEN_NOT_AUTHORIZED
P01,randomization,hollow proposed areal mass,6,10,kg/m2,ENGINEERING_INITIAL,S01,https://lpddoors.co.uk/products/white-moulded-mayfair-4p/,网页，无独立发布日期；Technical Information,,非原厂整体范围/市场分布；厚度候选35-40mm；m=area*density,DISCUSSION_OPEN_NOT_AUTHORIZED
P02,randomization,engineered proposed areal mass,12,24,kg/m2,ENGINEERING_INITIAL,S02,https://lpddoors.co.uk/products/oak-vancouver-5p/,网页；Technical Information,,非原厂整体范围/市场分布；厚度候选35-45mm；m=area*density,DISCUSSION_OPEN_NOT_AUTHORIZED
