link_name,mass_kg,inertial_origin_xyz_m,inertial_origin_rpy_rad,ixx,ixy,ixz,iyy,iyz,izz
FL_hip,1.62,-0.002408 -0.01622 0.000239,0 0 0,0.0014763,0.0000532,-0.0000074,0.0016333,-0.000021,0.0016308
FL_thigh,3.079,-0.003268 -0.03111 -0.053896,0 0 0,0.0292718,0.0003373,-0.0012514,0.0268288,0.0052838,0.0051217
FL_calf,0.361,0.012515 -0.000024 -0.117649,0 0 0,0.003869,-0.0000001,0.0002986,0.0039453,0.0000008,0.000151
FL_foot,0.046,-0.007846 0.000012 -0.009403,0 0 0,0.000014,0,0.000004,0.0000144,0,0.0000154
RL_hip,1.62,0.00327 -0.01622 -0.000097,0 0 0,0.0014681,-0.0001054,-0.0000073,0.0016255,-0.0000004,0.0016311
RL_thigh,3.079,-0.003268 -0.03111 -0.053896,0 0 0,0.0292718,0.0003373,-0.0012514,0.0268288,0.0052838,0.0051217
RL_calf,0.361,0.012515 -0.000024 -0.117649,0 0 0,0.003869,-0.0000001,0.0002986,0.0039453,0.0000008,0.000151
RL_foot,0.046,-0.007846 0.000012 -0.009403,0 0 0,0.000014,0,0.000004,0.0000144,0,0.0000154
FR_hip,1.62,-0.002465 0.01622 0.000318,0 0 0,0.0014837,-0.0000566,-0.0000059,0.0016328,0.0000255,0.0016229
FR_thigh,3.077,-0.003256 0.031125 -0.053921,0 0 0,0.0292552,-0.0003348,-0.0012552,0.0268191,-0.0052882,0.0051251
FR_calf,0.361,0.012515 0.000016 -0.117649,0 0 0,0.003869,0.0000001,0.0002986,0.0039453,-0.0000013,0.000151
FR_foot,0.046,-0.007846 0.000012 -0.009403,0 0 0,0.000014,0,0.000004,0.0000144,0,0.0000154
RR_hip,1.62,0.00327 0.01622 -0.000037,0 0 0,0.0014649,0.0001054,-0.0000094,0.0016255,0.0000043,0.0016343
RR_thigh,3.077,-0.003256 0.031125 -0.053921,0 0 0,0.0292552,-0.0003348,-0.0012552,0.0268191,-0.0052882,0.0051251
RR_calf,0.361,0.012515 0.000016 -0.117649,0 0 0,0.003869,0.0000001,0.0002986,0.0039453,-0.0000013,0.000151
RR_foot,0.046,-0.007846 0.000012 -0.009403,0 0 0,0.000014,0,0.000004,0.0000144,0,0.0000154
arm_body0,1.02,-0.00473641164191482 2.56829134630247E-05 0.041451518036016,0 0 0,0.00267433,-0.00000073,-0.00017389,0.00282612,0.0000004,0.00089624
trunk,20.40480826480731638,0.01160036892473412777 -0.00068643153003565979 0.01741652110407141302,0 0 0,0.15449461940604991,0.00033548657452330636,-0.01825941025739795522,0.43383026320754270933,-0.00042563729898975939,0.48902189794455076425
arm_body1,0.71,0.000121504734057468 0.000104632162460536 -0.00438597309559853,0 0 0,0.00048916,-0.00000036,-0.00000224,0.00040472,-0.00000242,0.00043982
arm_body2,1.17,0.198666145229743 -0.010926924140076 0.00142121714502687,0 0 0,0.00116918,-0.00180037,0.00025146,0.06785384,-0.00000455,0.06774489
arm_body3,0.5,-0.0202737662122021 -0.133914995944595 -0.000458682652737356,0 0 0,0.01361711,0.00165794,-0.00000048,0.00045024,-0.00000045,0.01380322
arm_body4,0.38,-9.66635791618542E-05 0.000876064475651083 -0.00496880904640868,0 0 0,0.00018501,0.00000054,0.00000120,0.00018965,-0.00000841,0.00015484
arm_body5,0.383,-4.10554118924211E-05 -0.0566486692356075 -0.0037205791677906,0 0 0,0.00166169,0.00000006,-0.00000007,0.00018510,0.00001026,0.00164321
arm_body6,0.007,-8.82590762930069E-05 9.0598378529832E-06 -0.002,0 0 0,5.73015540542155E-07,-1.98305403089247E-22,-7.2791893904596E-23,5.73015540542155E-07,-3.4146026640245E-24,1.06738869138926E-06
arm_body6_to_gripper,0.45,-0.000183807162235591 8.05033155577911E-05 0.0321436689908876,0 0 0,0.00092934,0.00000034,-0.00000738,0.00071447,0.00000005,0.00039442
arm_body7,0.025,0.00065123185041968 -0.0491929869131989 0.00972258769184025,0 0 0,0.00007371,-0.00000113,0.00000021,0.00000781,-0.00001372,0.0000747
arm_body8,0.025,0.000651231850419722 -0.0491929869131991 0.00972258769184024,0 0 0,0.00007371,-0.00000113,0.00000021,0.00000781,-0.00001372,0.0000747
wrist_camera_tower,0.149999999999845,-0.0010726762815566 0.146739506601381 0.0132943456763075,0 0 0,0.000253946269159891,-5.6019656808361e-06,-2.48084953871119e-07,0.000110628146946695,-5.09510217702216e-06,0.00034614396298789
