workpoint,pose,roll_deg,pitch_deg,direction,dx,dy,dz,arm_status,arm_force_N,arm_no_gravity_force_N,arm_limiter,whole_status,whole_force_N,whole_limiter,unloaded_feet,arm_peak_abs_tau_at20N_Nm,arm_peak_PD_error_at20N_rad,arm_min_cap_margin_at20N_Nm,arm_analytic_vs_LP_abs_N
low90,neutral,0.0,0.0,press_down,0.0,0.0,-1.0,OPTIMAL,289.13068790486477,276.46728719745795,arm_j2,OPTIMAL,164.6706697917608,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,2.724330445339691,0.04256766320843267,97.27566955466031,0.0
low90,neutral,0.0,0.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,685.4934570937949,713.5947833508154,arm_j3,OPTIMAL,138.95277051850525,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,6.740705983184444,0.10532353098725694,93.25929401681556,0.0
low90,neutral,0.0,0.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,741.6961096078359,713.5947833508154,arm_j3,OPTIMAL,119.20477090712471,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,6.489378079881179,0.05069826624907171,93.51062192011882,0.0
low90,neutral,0.0,0.0,handle_axis,0.0,1.0,0.0,OPTIMAL,281.6901408450703,281.6901408450703,arm_j1,OPTIMAL,100.60033145283975,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",FL_foot,7.100000000000004,0.11093750000000006,92.89999999999999,0.0
low90,roll+8,8.0,0.0,press_down,0.0,0.0,-1.0,OPTIMAL,289.61064803052176,275.82278447696353,arm_j2,OPTIMAL,165.11094016956133,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,2.4447037776777583,0.03819849652621497,97.55529622232224,0.0
low90,roll+8,8.0,0.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,583.4192331628306,579.845669769835,arm_j1,OPTIMAL,139.32428044707817,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,6.489347338068877,0.10139605215732621,93.51065266193112,0.0
low90,roll+8,8.0,0.0,closing_normal_tangent,-1.0,-0.0,-0.0,OPTIMAL,576.2721063768396,579.845669769835,arm_j1,OPTIMAL,118.83326097854186,RL_foot:normal_lower;RR_foot:normal_lower,RL_foot;RR_foot,6.3592985450248465,0.06352326959029686,93.64070145497516,0.0
low90,roll+8,8.0,0.0,handle_axis,0.0,1.0,0.0,OPTIMAL,282.7053660692758,284.4584711319871,arm_j1,OPTIMAL,100.02425912831094,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",FL_foot,7.64719889555267,0.11948748274301046,92.35280110444734,0.0
low90,roll-8,-8.0,0.0,press_down,0.0,0.0,-1.0,OPTIMAL,290.42848050988664,278.93290340391513,arm_j2,OPTIMAL,164.28110769683443,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,3.0489134807138516,0.04648756285941365,96.95108651928615,0.0
low90,roll-8,-8.0,0.0,opening_normal_tangent,1.0,0.0,0.0,OPTIMAL,649.9490856744147,677.3616409129783,arm_j3,OPTIMAL,138.62404936587106,FL_foot:normal_lower;FR_foot:normal_lower,FL_foot;FR_foot,6.999592592024952,0.10936863425038988,93.00040740797505,0.0
