workpoint,pose,roll_deg,pitch_deg,ik_status,tcp_position_residual_m,tcp_rotation_residual_rad,foot_max_residual_m
low90,neutral,0.0,0.0,REACHABLE,1.090002836093781e-15,3.000036957640749e-15,0.0
low90,roll+8,8.0,0.0,REACHABLE,4.524142648756117e-14,2.0210641893586665e-13,1.046278443049318e-15
low90,roll-8,-8.0,0.0,REACHABLE,1.249000902703301e-16,3.019417840061561e-16,9.856160834467555e-16
low90,pitch+8,0.0,8.0,REACHABLE,3.8283582482295026e-16,1.7377531329682421e-15,2.356425548623274e-12
low90,pitch-8,0.0,-8.0,REACHABLE,0.0,4.464845253037553e-16,3.936965444984332e-13
low90,pitch+15,0.0,15.0,NOT_RESOLVED_WITHIN_LIMITS,0.001071943883556562,0.003085525153604137,0.0192827061184201
low90,pitch-15,0.0,-15.0,NOT_RESOLVED_WITHIN_LIMITS,1.636440382031199e-12,7.12354310523887e-12,0.01928270611841981
mid105,neutral,0.0,0.0,REACHABLE,4.934426949698985e-15,1.11680976075552e-14,0.0
mid105,roll+8,8.0,0.0,REACHABLE,6.866406295186536e-15,1.8665417519363013e-14,1.046278443049318e-15
mid105,roll-8,-8.0,0.0,REACHABLE,4.699049486038809e-14,9.604039307783501e-14,9.856160834467555e-16
mid105,pitch+8,0.0,8.0,REACHABLE,2.2887833992611187e-16,5.10932426753509e-16,2.356425548623274e-12
mid105,pitch-8,0.0,-8.0,REACHABLE,5.621788895662531e-16,1.7584335908066905e-15,3.936965444984332e-13
mid105,pitch+15,0.0,15.0,NOT_RESOLVED_WITHIN_LIMITS,4.545902364027965e-16,5.521465101365594e-16,0.0192827061184201
mid105,pitch-15,0.0,-15.0,NOT_RESOLVED_WITHIN_LIMITS,2.237726045655905e-16,1.5618529739035214e-16,0.01928270611841981
far90,neutral,0.0,0.0,REACHABLE,1.6243534171511178e-16,9.992375695668472e-16,0.0
far90,roll+8,8.0,0.0,REACHABLE,2.5172027167143304e-16,2.497719130767899e-16,1.046278443049318e-15
far90,roll-8,-8.0,0.0,REACHABLE,3.2777947314711097e-12,1.4375539552665192e-11,9.856160834467555e-16
far90,pitch+8,0.0,8.0,REACHABLE,1.3877787807814457e-17,3.8422799980972354e-16,2.356425548623274e-12
far90,pitch-8,0.0,-8.0,REACHABLE,1.716587549445839e-16,4.0934097129195195e-16,3.936965444984332e-13
far90,pitch+15,0.0,15.0,NOT_RESOLVED_WITHIN_LIMITS,1.1857187100668868e-16,2.7847996466431385e-16,0.0192827061184201
far90,pitch-15,0.0,-15.0,NOT_RESOLVED_WITHIN_LIMITS,2.5438405243138006e-16,2.588496983221746e-16,0.01928270611841981
high120,neutral,0.0,0.0,REACHABLE,1.1102231301458687e-16,1.220485000721166e-16,0.0
high120,roll+8,8.0,0.0,REACHABLE,2.1630941293762234e-13,3.4002730540358676e-13,1.046278443049318e-15
high120,roll-8,-8.0,0.0,REACHABLE,4.442861325907595e-16,3.066635637119854e-16,9.856160834467555e-16
high120,pitch+8,0.0,8.0,REACHABLE,2.63897000581527e-15,1.85955655205148e-15,2.356425548623274e-12
high120,pitch-8,0.0,-8.0,REACHABLE,1.79018083656757e-15,1.4628011697426645e-15,3.936965444984332e-13
high120,pitch+15,0.0,15.0,NOT_RESOLVED_WITHIN_LIMITS,7.260194150116671e-12,8.92917935433728e-12,0.0192827061184201
high120,pitch-15,0.0,-15.0,NOT_RESOLVED_WITHIN_LIMITS,4.9650683065238465e-16,1.4015113834005072e-16,0.01928270611841981
left105,neutral,0.0,0.0,REACHABLE,1.1433620129904996e-12,6.106370770091134e-12,0.0
left105,roll+8,8.0,0.0,REACHABLE,4.195221971351362e-14,9.34174087175544e-14,1.046278443049318e-15
left105,roll-8,-8.0,0.0,REACHABLE,7.526010184184635e-15,1.9638731816602262e-14,9.856160834467555e-16
left105,pitch+8,0.0,8.0,REACHABLE,1.3529953481590642e-15,2.503591768654246e-16,2.356425548623274e-12
left105,pitch-8,0.0,-8.0,REACHABLE,3.775166431889533e-16,2.0420500387221354e-15,3.936965444984332e-13
left105,pitch+15,0.0,15.0,NOT_RESOLVED_WITHIN_LIMITS,2.2247786310271853e-16,9.612403870725153e-17,0.0192827061184201
left105,pitch-15,0.0,-15.0,NOT_RESOLVED_WITHIN_LIMITS,2.2887833992611187e-16,3.1407875987744656e-16,0.01928270611841981
open30,neutral,0.0,0.0,NOT_RESOLVED_WITHIN_LIMITS,0.007112416014362839,0.03542411635007322,0.0
open30,roll+8,8.0,0.0,NOT_RESOLVED_WITHIN_LIMITS,0.008974074244540543,0.04285629897654099,1.046278443049318e-15
open30,roll-8,-8.0,0.0,NOT_RESOLVED_WITHIN_LIMITS,0.007440771976323455,0.0416054921219679,9.856160834467555e-16
open30,pitch+8,0.0,8.0,REACHABLE,7.31643764678351e-15,6.644651101603348e-14,2.356425548623274e-12
open30,pitch-8,0.0,-8.0,NOT_RESOLVED_WITHIN_LIMITS,0.011266368312168817,0.05659240490050419,3.936965444984332e-13
open30,pitch+15,0.0,15.0,NOT_RESOLVED_WITHIN_LIMITS,1.309715943130468e-13,5.654662177868764e-13,0.0192827061184201
open30,pitch-15,0.0,-15.0,NOT_RESOLVED_WITHIN_LIMITS,0.012103259067071376,0.060107133871964334,0.01928270611841981
