workpoint,pose,acceleration_m_s2,qddot_peak_rad_s2,acceleration_residual,delta_arm_tau_peak_Nm,arm_force_N,whole_force_N,status
low90,neutral,-0.5,1.548030482675803,1.3649056410347399e-15,0.2683174930256076,686.2686894541027,140.29528079597227,OPTIMAL
low90,neutral,0.5,1.548030482675803,1.3649056410347399e-15,0.2683174930256076,684.7182247334871,137.6102602410382,OPTIMAL
low90,roll+8,-0.5,1.4553660360540586,1.1751818637989894e-15,0.19990583750093727,584.357087705406,140.5862785817179,OPTIMAL
low90,roll+8,0.5,1.4553660360540586,1.1751818637989894e-15,0.19990583750093727,582.4813786202551,138.06228231243847,OPTIMAL
low90,roll-8,-0.5,1.6780203532675304,1.258323896271454e-15,0.3369045063509031,650.7089543522161,140.11316521457098,OPTIMAL
low90,roll-8,0.5,1.6780203532675304,1.258323896271454e-15,0.3369045063509031,649.1892169966135,137.13493351717113,OPTIMAL
low90,pitch+8,-0.5,2.025047677601532,1.3954523809515321e-15,0.24603412471973574,809.0146924164673,141.6596351133212,OPTIMAL
low90,pitch+8,0.5,2.025047677601532,1.3954523809515321e-15,0.24603412471973574,807.478473451977,139.50969204426067,OPTIMAL
low90,pitch-8,-0.5,1.7665556027896299,2.1353960093690125e-15,0.2633244440399025,628.4733906874741,139.1718322630889,OPTIMAL
low90,pitch-8,0.5,1.7665556027896299,2.1353960093690125e-15,0.2633244440399025,626.9035611929825,136.32752950339793,OPTIMAL
mid105,neutral,-0.5,1.5983231317699607,1.0046533867936702e-15,0.415178766272712,449.6537494470995,121.02620393485721,OPTIMAL
mid105,neutral,0.5,1.5983231317699607,1.0046533867936702e-15,0.415178766272712,446.11535725485084,118.36176380577417,OPTIMAL
mid105,roll+8,-0.5,1.59662982974654,6.500931993955288e-16,0.3408852859030471,521.7967534345224,121.29230754237021,OPTIMAL
mid105,roll+8,0.5,1.59662982974654,6.500931993955288e-16,0.3408852859030471,519.9911191171602,118.79573673821824,OPTIMAL
mid105,roll-8,-0.5,1.7294968880885657,2.228518109868935e-15,0.4719629508678178,387.45428667501824,120.88787350213975,OPTIMAL
mid105,roll-8,0.5,1.7294968880885657,2.228518109868935e-15,0.4719629508678178,383.9758980718411,118.0328720016967,OPTIMAL
mid105,pitch+8,-0.5,1.5987265629684915,5.212057774549519e-16,0.375373618482965,486.29265099989686,122.27636766803028,OPTIMAL
mid105,pitch+8,0.5,1.5987265629684915,5.212057774549519e-16,0.375373618482965,482.7981138896456,120.03265118670488,OPTIMAL
mid105,pitch-8,-0.5,1.8684309220036222,1.456037826451378e-15,0.42473558107720244,451.61548364830617,120.0617323095245,OPTIMAL
mid105,pitch-8,0.5,1.8684309220036222,1.456037826451378e-15,0.42473558107720244,448.0139942557831,117.21442320538057,OPTIMAL
far90,neutral,-0.5,2.687940837972275,8.213493132049974e-16,0.2998493556895738,834.3341394543835,145.75188268964507,OPTIMAL
far90,neutral,0.5,2.687940837972275,8.213493132049974e-16,0.2998493556895738,832.3325272122837,142.7250507309387,OPTIMAL
far90,roll+8,-0.5,2.7372582279440145,9.732573599204434e-16,0.27161634705184134,588.1374831673038,145.88444996450127,OPTIMAL
far90,roll+8,0.5,2.7372582279440145,9.732573599204434e-16,0.27161634705184134,586.0742572719187,142.91607677877533,OPTIMAL
far90,roll-8,-0.5,2.6663788968459787,2.0420855031731256e-15,0.32087618620549385,866.8343183605444,145.68963150377903,OPTIMAL
far90,roll-8,0.5,2.6663788968459787,2.0420855031731256e-15,0.32087618620549385,861.7410180098665,142.62216183656764,OPTIMAL
far90,pitch+8,-0.5,2.391053407003429,1.274547388334838e-15,0.3042384119822934,845.1724724014583,147.18415030509402,OPTIMAL
far90,pitch+8,0.5,2.391053407003429,1.274547388334838e-15,0.3042384119822934,843.3108182422633,144.2284707333145,OPTIMAL
