workpoint,pose,direction,arm_PD_status,arm_PD_force_N,arm_PD_limiter,whole_PD_status,whole_PD_force_N,whole_PD_limiter,target_at20N_within_limits,target_limit_excess_at20N_rad
low90,neutral,press_down,OPTIMAL,132.22142183439112,arm_j3,OPTIMAL,132.22142183439112,arm_j3:upper,True,0.0
low90,neutral,opening_normal_tangent,OPTIMAL,685.4934570937949,arm_j3,OPTIMAL,138.95277051850525,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
low90,neutral,closing_normal_tangent,OPTIMAL,314.30358280606674,arm_j3,OPTIMAL,119.20477090712471,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
low90,neutral,handle_axis,OPTIMAL,281.6901408450703,arm_j1,OPTIMAL,100.60033145283975,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",True,0.0
low90,roll+8,press_down,OPTIMAL,157.76656852301878,arm_j3,OPTIMAL,157.76656852301878,arm_j3:upper,True,0.0
low90,roll+8,opening_normal_tangent,OPTIMAL,583.4192331628306,arm_j1,OPTIMAL,139.32428044707817,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
low90,roll+8,closing_normal_tangent,OPTIMAL,382.9976058709843,arm_j3,OPTIMAL,118.83326097854186,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
low90,roll+8,handle_axis,OPTIMAL,282.7053660692758,arm_j1,OPTIMAL,100.02425912831094,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",True,0.0
low90,roll-8,press_down,OPTIMAL,114.46573048305466,arm_j3,OPTIMAL,114.46573048305466,arm_j3:upper,True,0.0
low90,roll-8,opening_normal_tangent,OPTIMAL,649.9490856744147,arm_j3,OPTIMAL,138.62404936587106,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
low90,roll-8,closing_normal_tangent,OPTIMAL,272.2306762747037,arm_j3,OPTIMAL,119.53349205975921,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
low90,roll-8,handle_axis,OPTIMAL,285.9620873013478,arm_j1,OPTIMAL,101.28392450370903,"FL_foot:friction(1,1);FL_foot:friction(-1,1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1);FL_foot:normal_lower",True,0.0
low90,pitch+8,press_down,OPTIMAL,123.96466911963374,arm_j3,OPTIMAL,123.96466911963374,arm_j3:upper,True,0.0
low90,pitch+8,opening_normal_tangent,OPTIMAL,808.2465829342221,arm_j3,OPTIMAL,140.58466357879095,FL_foot:normal_lower;FR_foot:normal_lower,True,0.0
low90,pitch+8,closing_normal_tangent,OPTIMAL,344.5165015169496,arm_j3,OPTIMAL,117.57287784681621,RL_foot:normal_lower;RR_foot:normal_lower,True,0.0
low90,pitch+8,handle_axis,OPTIMAL,336.5266301463767,arm_j1,OPTIMAL,101.03534724800592,"FL_foot:friction(1,1);FL_foot:friction(-1,1);FL_foot:friction(-1,-1);RL_foot:friction(-1,1);RL_foot:friction(-1,-1);FR_foot:friction(1,1);FR_foot:friction(-1,1)",True,0.0
