workpoint,pose,direction,kind,parameter,force_N,status,grip_only_force_N
low90,neutral,press_down,ground_mu,0.3,164.67066979176076,OPTIMAL,
low90,neutral,press_down,ground_mu,1.0,164.67066979176076,OPTIMAL,
low90,neutral,press_down,arm_sim_cap_scale,0.1,40.31012942715261,OPTIMAL,
low90,neutral,press_down,arm_sim_cap_scale,0.2,67.9568581468984,OPTIMAL,
low90,neutral,press_down,pinch_mu_two45N,0.2,90.0,OPTIMAL,90.0
low90,neutral,press_down,pinch_mu_two45N,0.4,90.0,OPTIMAL,90.0
low90,neutral,press_down,pinch_mu_two45N,0.8,90.0,OPTIMAL,90.0
low90,neutral,press_down,pinch_mu_PD_q014,0.2,36.4,OPTIMAL,36.4
low90,neutral,press_down,pinch_mu_PD_q014,0.4,36.4,OPTIMAL,36.4
low90,neutral,press_down,pinch_mu_PD_q014,0.8,36.4,OPTIMAL,36.4
low90,neutral,opening_normal_tangent,ground_mu,0.3,107.66175158626915,OPTIMAL,
low90,neutral,opening_normal_tangent,ground_mu,1.0,138.95277051850525,OPTIMAL,
low90,neutral,opening_normal_tangent,arm_sim_cap_scale,0.1,43.25815207806105,OPTIMAL,
low90,neutral,opening_normal_tangent,arm_sim_cap_scale,0.2,114.61763041314259,OPTIMAL,
low90,neutral,opening_normal_tangent,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
low90,neutral,opening_normal_tangent,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
low90,neutral,opening_normal_tangent,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
low90,neutral,opening_normal_tangent,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
low90,neutral,opening_normal_tangent,pinch_mu_PD_q014,0.4,14.56,OPTIMAL,14.56
low90,neutral,opening_normal_tangent,pinch_mu_PD_q014,0.8,29.12,OPTIMAL,29.12
low90,neutral,closing_normal_tangent,ground_mu,0.3,101.24773775215564,OPTIMAL,
low90,neutral,closing_normal_tangent,ground_mu,1.0,119.20477090712471,OPTIMAL,
low90,neutral,closing_normal_tangent,arm_sim_cap_scale,0.1,56.78076638239462,OPTIMAL,
low90,neutral,closing_normal_tangent,arm_sim_cap_scale,0.2,119.20477090712471,OPTIMAL,
low90,neutral,closing_normal_tangent,pinch_mu_two45N,0.2,18.0,OPTIMAL,18.0
low90,neutral,closing_normal_tangent,pinch_mu_two45N,0.4,36.0,OPTIMAL,36.0
low90,neutral,closing_normal_tangent,pinch_mu_two45N,0.8,72.0,OPTIMAL,72.0
low90,neutral,closing_normal_tangent,pinch_mu_PD_q014,0.2,7.28,OPTIMAL,7.28
