step,time_s,base_height_m,max_abs_robot_ctrl_nm,door_hinge_rad,handle_hinge_rad,constraint_gate_active,door_external_torque_nm
0,0.005,0.61975475,0.0,-1.68988121465648e-08,-0.16457786879286038,1,0.0
1,0.01,0.6192642500001115,4.2453567145401485e-05,-3.4989938215284525e-08,-0.15948860698072417,1,0.0
2,0.015,0.6185285000013379,6.416004719285418e-05,-5.1855704699233715e-08,-0.12530234349565683,1,0.0
3,0.02,0.6175475000113869,6.902645164423511e-05,-6.6428992403641e-08,-0.0851135236085993,1,0.0
4,0.025,0.6163212496263412,0.00018926475844460944,-7.841424998246706e-08,-0.05197008990981466,1,0.0
5,0.030000000000000002,0.6148497455645209,0.008512829120874348,-8.792525952065096e-08,-0.030634916971640835,1,0.0
6,0.035,0.613133168052645,0.38564388012252315,-9.52658601390997e-08,-0.020537554803981024,1,0.0
7,0.04,0.6111632324365327,17.487431027338644,-1.0080299306156112e-07,-0.018583405472939015,1,0.0
8,0.045,0.6089816274241244,40.0,-1.0489789957758505e-07,-0.021189394996887222,1,0.0
9,0.049999999999999996,0.6064720076089296,45.0,-1.0787283085206673e-07,-0.02542396320537074,1,0.0
10,0.05499999999999999,0.6035643141826557,136.5680484513511,-1.0999856962448109e-07,-0.029414191345216226,1,0.0
11,0.05999999999999999,0.6004205815149122,180.0,-1.1149344447804423e-07,-0.03228470642889979,1,0.0
12,0.06499999999999999,0.5971360215509738,180.0,-1.1252809894999834e-07,-0.033877747555255106,1,0.0
13,0.06999999999999999,0.5935687787291171,180.0,-1.1323261518915278e-07,-0.03443379817080575,1,0.0
14,0.075,0.589879465291122,180.0,-1.1370408284607248e-07,-0.03433234330945483,1,0.0
15,0.08,0.5859510678140246,180.0,-1.1401362892353518e-07,-0.03392749897823436,1,0.0
16,0.085,0.5817997316066034,180.0,-1.1421247816948366e-07,-0.0334721692252726,1,0.0
17,0.09000000000000001,0.5775191421964176,180.0,-1.1433692928991927e-07,-0.03310542723446359,1,0.0
18,0.09500000000000001,0.5729058342716217,180.0,-1.1441229912108309e-07,-0.03287466305886268,1,0.0
19,0.10000000000000002,0.5681673862288741,180.0,-1.14455963799155e-07,-0.03276957785975069,1,0.0
20,0.10500000000000002,0.5630946778073468,180.0,-1.1447965088617624e-07,-0.0327536030069187,1,0.0
21,0.11000000000000003,0.5578997136694673,180.0,-1.1449113325380327e-07,-0.03278617697340565,1,0.0
22,0.11500000000000003,0.5522064884745629,180.0,-1.1449545886718843e-07,-0.03283488199464239,1,0.0
23,0.12000000000000004,0.5462332149172433,180.0,-1.1449582897555441e-07,-0.03287947649261192,1,0.0
24,0.12500000000000003,0.5399595476674147,180.0,-1.1449421529836028e-07,-0.03291086729211575,1,0.0
25,0.13000000000000003,0.5334840330228253,180.0,-1.1449178693498475e-07,-0.03292780867476061,1,0.0
26,0.13500000000000004,0.5268980605175887,180.0,-1.1448920086652869e-07,-0.03293329007474143,1,0.0
27,0.14000000000000004,0.5201160673289651,180.0,-1.144867962250533e-07,-0.03293167115651307,1,0.0
28,0.14500000000000005,0.5130180480562336,180.0,-1.1448472174209233e-07,-0.03292690680190895,1,0.0
29,0.15000000000000005,0.505653748761086,180.0,-1.1448301754486897e-07,-0.03292176079767488,1,0.0
30,0.15500000000000005,0.49802761496181613,180.0,-1.1448166629122856e-07,-0.03291771044798495,1,0.0
31,0.16000000000000006,0.490243665909456,180.0,-1.1448062409244065e-07,-0.03291522049591266,1,0.0
32,0.16500000000000006,0.4821514427007439,180.0,-1.1447983839106348e-07,-0.03291413322017028,1,0.0
33,0.17000000000000007,0.4738327587254984,180.0,-1.144792576279128e-07,-0.03291401909694503,1,0.0
34,0.17500000000000007,0.46518526275650374,180.0,-1.1447883589969296e-07,-0.032914420080303576,1,0.0
35,0.18000000000000008,0.45602503086251045,180.0,-1.1447853468472205e-07,-0.03291497837280471,1,0.0
36,0.18500000000000008,0.4465969002680714,180.0,-1.1447832295284886e-07,-0.032915475749105354,1,0.0
37,0.19000000000000009,0.4369663886379939,180.0,-1.1447817646913522e-07,-0.03291581832532733,1,0.0
38,0.1950000000000001,0.42721967339478106,180.0,-1.1447807677049689e-07,-0.032915997858898635,1,0.0
39,0.2000000000000001,0.41710090811555356,180.0,-1.1447801008389788e-07,-0.03291605098850865,1,0.0
40,0.2050000000000001,0.40701419118884974,180.0,-1.1447796632414312e-07,-0.03291602763395949,1,0.0
41,0.2100000000000001,0.3965772447126605,180.0,-1.1447793823123473e-07,-0.03291597187586956,1,0.0
42,0.2150000000000001,0.38599240652058764,180.0,-1.1447792066282457e-07,-0.03291591385529667,1,0.0
43,0.2200000000000001,0.3750625785261665,180.0,-1.144779100338715e-07,-0.032915869208380945,1,0.0
44,0.22500000000000012,0.3640156787867918,180.0,-1.1447790388487463e-07,-0.03291584240983451,1,0.0
45,0.23000000000000012,0.3527079093738141,180.0,-1.1447790055663453e-07,-0.032915831234996355,1,0.0
