handle_height_m,standoff_m,root_height_m,tcp_error_m,self_collision,self_collision_evidence,min_joint_limit_margin_rad,arm_j6_margin_rad,feasible,failure_reason
1.1,0.4,0.55,0.28190889954566956,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.21015465259552002,0.21015465259552002,False,tcp_error_not_below_tolerance
1.1,0.4,0.65,0.1839418113231659,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.19964087009429932,0.19964087009429932,False,tcp_error_not_below_tolerance
1.1,0.4,0.75,0.17375530302524567,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,-0.13026213645935059,-0.13026213645935059,False,tcp_error_not_below_tolerance;joint_limit_margin_not_above_threshold
1.1,0.45,0.55,0.2753870189189911,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.379472553730011,0.38861095905303955,False,tcp_error_not_below_tolerance
1.1,0.45,0.65,0.18885287642478943,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.362079918384552,0.409883975982666,False,tcp_error_not_below_tolerance
1.1,0.45,0.75,0.15625415742397308,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.19363844394683838,0.41377031803131104,False,tcp_error_not_below_tolerance
1.1,0.5,0.55,0.25804510712623596,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3784940242767334,0.3784940242767334,False,tcp_error_not_below_tolerance
1.1,0.5,0.65,0.16366255283355713,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3804417848587036,0.3876166343688965,False,tcp_error_not_below_tolerance
1.1,0.5,0.75,0.08594851195812225,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.31801456212997437,0.4003450870513916,False,tcp_error_not_below_tolerance
1.1,0.55,0.55,0.24882487952709198,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.37471723556518555,0.37471723556518555,False,tcp_error_not_below_tolerance
1.1,0.55,0.65,0.14956814050674438,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3750190734863281,0.3750190734863281,False,tcp_error_not_below_tolerance
1.1,0.55,0.75,0.05218789726495743,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.38408052921295166,0.38408052921295166,False,tcp_error_not_below_tolerance
1.1,0.6,0.55,0.24849823117256165,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3790557384490967,0.3790557384490967,False,tcp_error_not_below_tolerance
1.1,0.6,0.65,0.14906248450279236,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.38155508041381836,0.38155508041381836,False,tcp_error_not_below_tolerance
1.1,0.6,0.75,0.051060207188129425,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.39659547805786133,0.39659547805786133,False,tcp_error_not_below_tolerance
1.1,0.65,0.55,0.2570851743221283,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.3908435106277466,0.3908435106277466,False,tcp_error_not_below_tolerance
1.1,0.65,0.65,0.16220830380916595,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.40508556365966797,0.40508556365966797,False,tcp_error_not_below_tolerance
1.1,0.65,0.75,0.07764598727226257,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.46129775047302246,0.4652196168899536,False,tcp_error_not_below_tolerance
1.1,0.7,0.55,0.2738496661186218,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4073936939239502,0.4073936939239502,False,tcp_error_not_below_tolerance
1.1,0.7,0.65,0.1866285353899002,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.43406736850738525,0.43406736850738525,False,tcp_error_not_below_tolerance
1.1,0.7,0.75,0.11786948144435883,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4657325744628906,0.5070652961730957,False,tcp_error_not_below_tolerance
1.1,0.75,0.55,0.2975628674030304,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.42558205127716064,0.42558205127716064,False,tcp_error_not_below_tolerance
1.1,0.75,0.65,0.21906448900699615,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4601171016693115,0.4601171016693115,False,tcp_error_not_below_tolerance
1.1,0.75,0.75,0.16306868195533752,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.465939998626709,0.5291107892990112,False,tcp_error_not_below_tolerance
1.1,0.8,0.55,0.32686370611190796,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4431171417236328,0.4431171417236328,False,tcp_error_not_below_tolerance
1.1,0.8,0.65,0.2567918598651886,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4638383388519287,0.4808664321899414,False,tcp_error_not_below_tolerance
1.1,0.8,0.75,0.21030549705028534,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4653649926185608,0.5419504642486572,False,tcp_error_not_below_tolerance
1.1,0.85,0.55,0.36048415303230286,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.45889854431152344,0.45889854431152344,False,tcp_error_not_below_tolerance
1.1,0.85,0.65,0.29793858528137207,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.4653095602989197,0.4968454837799072,False,tcp_error_not_below_tolerance
1.1,0.85,0.75,0.2585378885269165,False,threshold_n=1.0;max_robot_self_contact_n=0;source=none,0.46470969915390015,0.5501885414123535,False,tcp_error_not_below_tolerance
