joint_name,joint_type,parent_link,child_link,axis_xyz,origin_xyz_m,origin_rpy_rad,urdf_lower,urdf_upper,urdf_effort_limit,urdf_velocity_limit,configured_lower,configured_upper,configured_effort_limit,configured_velocity_limit,effort_unit,position_unit,configured_stiffness,configured_damping,configured_armature,configured_joint_friction
FL_hip_joint,revolute,trunk,FL_hip,1 0 0,0.25944 0.075113 0,0 0 0,-1.01,1.01,120,22,-1.01,1.01,120.0,22.0,N*m,rad,140.0,4.5,0.03,0.0
FL_thigh_joint,revolute,FL_hip,FL_thigh,0 1 0,0 0.12779 0,0 0 0,-2.34,3.15,120,22,-2.34,3.15,120.0,22.0,N*m,rad,140.0,4.5,0.03,0.0
FL_calf_joint,revolute,FL_thigh,FL_calf,0 1 0,0 0 -0.275,0 0 0,-2.77,-0.54,180,14.6667,-2.77,-0.54,180.0,14.6667,N*m,rad,220.0,9.0,0.03,0.0
RL_hip_joint,revolute,trunk,RL_hip,1 0 0,-0.25944 0.075113 0,0 0 0,-1.01,1.01,120,22,-1.01,1.01,120.0,22.0,N*m,rad,140.0,4.5,0.03,0.0
RL_thigh_joint,revolute,RL_hip,RL_thigh,0 1 0,0 0.12779 0,0 0 0,-1.56,3.94,120,22,-1.56,3.94,120.0,22.0,N*m,rad,140.0,4.5,0.03,0.0
RL_calf_joint,revolute,RL_thigh,RL_calf,0 1 0,0 0 -0.275,0 0 0,-2.77,-0.54,180,14.6667,-2.77,-0.54,180.0,14.6667,N*m,rad,220.0,9.0,0.03,0.0
FR_hip_joint,revolute,trunk,FR_hip,1 0 0,0.25944 -0.075113 0,0 0 0,-1.01,1.01,120,22,-1.01,1.01,120.0,22.0,N*m,rad,140.0,4.5,0.03,0.0
FR_thigh_joint,revolute,FR_hip,FR_thigh,0 1 0,0 -0.12779 0,0 0 0,-2.34,3.15,120,22,-2.34,3.15,120.0,22.0,N*m,rad,140.0,4.5,0.03,0.0
FR_calf_joint,revolute,FR_thigh,FR_calf,0 1 0,0 0 -0.275,0 0 0,-2.77,-0.54,180,14.6667,-2.77,-0.54,180.0,14.6667,N*m,rad,220.0,9.0,0.03,0.0
RR_hip_joint,revolute,trunk,RR_hip,1 0 0,-0.25944 -0.075113 0,0 0 0,-1.01,1.01,120,22,-1.01,1.01,120.0,22.0,N*m,rad,140.0,4.5,0.03,0.0
RR_thigh_joint,revolute,RR_hip,RR_thigh,0 1 0,0 -0.12779 0,0 0 0,-1.56,3.94,120,22,-1.56,3.94,120.0,22.0,N*m,rad,140.0,4.5,0.03,0.0
RR_calf_joint,revolute,RR_thigh,RR_calf,0 1 0,0 0 -0.275,0 0 0,-2.77,-0.54,180,14.6667,-2.77,-0.54,180.0,14.6667,N*m,rad,220.0,9.0,0.03,0.0
arm_j1,revolute,arm_body0,arm_body1,0 0 1,0 0 0.123,0 0 0,-2.618,2.618,100,5,-2.618,2.618,100.0,5.0,N*m,rad,64.0,3.0,0.0,0.0
arm_j2,revolute,arm_body1,arm_body2,0 0 1,0 0 0,1.5708 -0.1359 -3.1416,0,3.14,100,5,0.0,3.14,100.0,5.0,N*m,rad,128.0,4.5,0.0,0.0
arm_j3,revolute,arm_body2,arm_body3,0 0 1,0.28503 0 0,0 0 -1.7939,-2.967,0,100,5,-2.967,0.0,100.0,5.0,N*m,rad,64.0,3.0,0.0,0.0
arm_j4,revolute,arm_body3,arm_body4,0 0 1,-0.021984 -0.25075 0,1.5708 0 0,-1.745,1.745,100,5,-1.745,1.745,100.0,5.0,N*m,rad,64.0,3.0,0.0,0.0
arm_j5,revolute,arm_body4,arm_body5,0 0 1,0 0 0,-1.5708 0 0,-1.22,1.22,100,5,-1.22,1.22,100.0,5.0,N*m,rad,64.0,3.0,0.0,0.0
arm_j6,revolute,arm_body5,arm_body6,0 0 1,8.8259E-05 -0.091 0,1.5708 0 0,-2.0944,2.0944,100,3,-2.0944,2.0944,100.0,3.0,N*m,rad,64.0,3.0,0.0,0.0
arm_j7,prismatic,arm_body6_to_gripper,arm_body7,0 0 1,0 0 0.1358,1.5708 0 0,0,0.035,10,1,0.0,0.035,45.0,1.0,N,m,1300.0,32.0,0.0,0.0
arm_j8,prismatic,arm_body6_to_gripper,arm_body8,0 0 -1,0 0 0.1358,1.5708 0 -3.1416,-0.035,0,10,1,-0.035,0.0,45.0,1.0,N,m,1300.0,32.0,0.0,0.0
